timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:22:37.054, 1, 0 %, 8555 MiB
2026/09/05 03:22:38.055, 0, 18 %, 11466 MiB
2026/09/05 03:22:38.058, 1, 0 %, 8555 MiB
2026/09/05 03:22:39.060, 0, 22 %, 11466 MiB
2026/09/05 03:22:39.062, 1, 0 %, 8555 MiB
2026/09/05 03:22:40.065, 0, 23 %, 11466 MiB
2026/09/05 03:22:40.067, 1, 0 %, 8555 MiB
2026/09/05 03:22:41.068, 0, 21 %, 11466 MiB
2026/09/05 03:22:41.070, 1, 0 %, 8555 MiB
2026/09/05 03:22:42.072, 0, 2 %, 11466 MiB
2026/09/05 03:22:42.073, 1, 0 %, 8555 MiB
2026/09/05 03:22:43.074, 0, 9 %, 11466 MiB
2026/09/05 03:22:43.076, 1, 0 %, 8555 MiB
2026/09/05 03:22:44.078, 0, 2 %, 11466 MiB
2026/09/05 03:22:44.080, 1, 0 %, 8555 MiB
2026/09/05 03:22:45.082, 0, 4 %, 11466 MiB
2026/09/05 03:22:45.083, 1, 0 %, 8555 MiB
2026/09/05 03:22:46.085, 0, 3 %, 11466 MiB
2026/09/05 03:22:46.086, 1, 0 %, 8555 MiB
2026/09/05 03:22:47.087, 0, 3 %, 11466 MiB
2026/09/05 03:22:47.088, 1, 0 %, 8555 MiB
2026/09/05 03:22:48.090, 0, 6 %, 11466 MiB
2026/09/05 03:22:48.091, 1, 0 %, 8555 MiB
2026/09/05 03:22:49.092, 0, 3 %, 11466 MiB
2026/09/05 03:22:49.095, 1, 0 %, 8555 MiB
2026/09/05 03:22:50.096, 0, 3 %, 11466 MiB
2026/09/05 03:22:50.098, 1, 0 %, 8555 MiB
2026/09/05 03:22:51.099, 0, 7 %, 11466 MiB
2026/09/05 03:22:51.101, 1, 0 %, 8555 MiB
2026/09/05 03:22:52.102, 0, 2 %, 11466 MiB
2026/09/05 03:22:52.104, 1, 0 %, 8555 MiB
2026/09/05 03:22:53.106, 0, 10 %, 11466 MiB
2026/09/05 03:22:53.107, 1, 0 %, 8555 MiB
2026/09/05 03:22:54.108, 0, 2 %, 11466 MiB
2026/09/05 03:22:54.110, 1, 0 %, 8555 MiB
2026/09/05 03:22:55.111, 0, 28 %, 11466 MiB
2026/09/05 03:22:55.113, 1, 0 %, 8555 MiB
2026/09/05 03:22:56.115, 0, 24 %, 11466 MiB
2026/09/05 03:22:56.117, 1, 0 %, 8555 MiB
2026/09/05 03:22:57.119, 0, 29 %, 11466 MiB
2026/09/05 03:22:57.120, 1, 0 %, 8555 MiB
2026/09/05 03:22:58.121, 0, 27 %, 11466 MiB
2026/09/05 03:22:58.123, 1, 0 %, 8555 MiB
2026/09/05 03:22:59.124, 0, 20 %, 11466 MiB
2026/09/05 03:22:59.125, 1, 0 %, 8555 MiB
2026/09/05 03:23:00.126, 0, 10 %, 11464 MiB
2026/09/05 03:23:00.129, 1, 0 %, 8555 MiB
2026/09/05 03:23:01.131, 0, 3 %, 11462 MiB
2026/09/05 03:23:01.132, 1, 0 %, 8555 MiB
2026/09/05 03:23:04.300, 0, 2 %, 11462 MiB
2026/09/05 03:23:04.302, 1, 0 %, 8555 MiB
2026/09/05 03:23:05.304, 0, 5 %, 11467 MiB
2026/09/05 03:23:05.304, 1, 0 %, 8555 MiB
2026/09/05 03:23:06.305, 0, 5 %, 11466 MiB
2026/09/05 03:23:06.307, 1, 0 %, 8555 MiB
2026/09/05 03:23:07.308, 0, 1 %, 11466 MiB
2026/09/05 03:23:07.310, 1, 0 %, 8555 MiB
2026/09/05 03:23:08.310, 0, 8 %, 11466 MiB
2026/09/05 03:23:08.312, 1, 0 %, 8555 MiB
2026/09/05 03:23:09.313, 0, 5 %, 11466 MiB
2026/09/05 03:23:09.315, 1, 0 %, 8555 MiB
2026/09/05 03:23:10.316, 0, 2 %, 11466 MiB
2026/09/05 03:23:10.317, 1, 0 %, 8555 MiB
2026/09/05 03:23:11.318, 0, 4 %, 11466 MiB
2026/09/05 03:23:11.319, 1, 0 %, 8555 MiB
2026/09/05 03:23:12.320, 0, 0 %, 11618 MiB
2026/09/05 03:23:12.321, 1, 0 %, 8658 MiB
2026/09/05 03:23:13.322, 0, 47 %, 11732 MiB
2026/09/05 03:23:13.323, 1, 0 %, 8658 MiB
2026/09/05 03:23:14.324, 0, 100 %, 11734 MiB
2026/09/05 03:23:14.325, 1, 100 %, 8740 MiB
2026/09/05 03:23:15.328, 0, 100 %, 11731 MiB
2026/09/05 03:23:15.328, 1, 100 %, 8740 MiB
2026/09/05 03:23:16.329, 0, 100 %, 11729 MiB
2026/09/05 03:23:16.330, 1, 100 %, 8740 MiB
2026/09/05 03:23:17.330, 0, 100 %, 11464 MiB
2026/09/05 03:23:17.332, 1, 89 %, 8555 MiB
2026/09/05 03:23:18.333, 0, 0 %, 11462 MiB
2026/09/05 03:23:18.333, 1, 0 %, 8555 MiB
2026/09/05 03:23:19.334, 0, 1 %, 11462 MiB
2026/09/05 03:23:19.335, 1, 0 %, 8555 MiB
2026/09/05 03:23:20.335, 0, 2 %, 11462 MiB
2026/09/05 03:23:20.337, 1, 0 %, 8555 MiB
2026/09/05 03:23:21.338, 0, 6 %, 11478 MiB
2026/09/05 03:23:21.338, 1, 0 %, 8555 MiB
2026/09/05 03:23:22.339, 0, 0 %, 11477 MiB
2026/09/05 03:23:22.340, 1, 0 %, 8555 MiB
2026/09/05 03:23:23.341, 0, 3 %, 11467 MiB
2026/09/05 03:23:23.342, 1, 0 %, 8555 MiB
2026/09/05 03:23:24.343, 0, 1 %, 11473 MiB
